"studentId";"surname";"middlename";"firstname";"suffix";"gender";"civilStatus";"citizenship";"registrationStatus";"degree";"collegeId";"yearLevel";"block";"address";"contactNumber";"password"
202013320;"Iskowitz";"Tamblyn";"Karyn";"Jr";"Male";"Single";"Filipino";1;"Bachelor of Science in Electronics Engineering";1;4;1;"0 Memorial Pass";"3827310616";"oCyyWSv"
202013321;"Poynton";"Grafton-Herbert";"Frans";"III";"Genderqueer";"Single";"Filipino";1;"Bachelor of Secondary Education major Mathematics";3;1;1;"30 Aberg Trail";"8655292091";"8t1qrJjsm0k"
202013322;"Tildesley";"Guiu";"Kinsley";"Sr";"Male";"Single";"Filipino";0;"Bachelor of Science in Electronics Engineering";1;2;1;"64271 John Wall Terrace";"4017200849";"d5UhFgwNEs"
202013323;"Anslow";"Stormonth";"Sammie";"IV";"Polygender";"Single";"Filipino";0;"Bachelor of Science in Nursing";4;4;1;"370 Menomonie Place";"8219373814";"Nv7nQwn"
202013324;"Hallums";"Janous";"Leigh";"IV";"Female";"Single";"Filipino";1;"Bachelor of Secondary Education major Mathematics";3;3;1;"64 Swallow Point";"4457333053";"S9zcMdW8i"
202013325;"Aaronsohn";"Boocock";"Merry";"II";"Non-binary";"Single";"Filipino";1;"Bachelor of Science in Architecture";6;4;1;"925 Hanover Center";"4945611771";"pXJV2OX"
202013326;"Furzer";"Ingraham";"Rainer";"IV";"Agender";"Single";"Filipino";1;"Bachelor of Secondary Education major Mathematics";3;3;1;"4 Pepper Wood Park";"1171296629";"rTOZDj4bFT"
202013327;"Darbyshire";"Milland";"Cornela";"II";"Agender";"Single";"Filipino";1;"Bachelor of Secondary Education major in Filipino";3;4;1;"7 Gateway Road";"4126236657";"pPyotpRDKSR"
202013328;"Klimentov";"Hunston";"Teresina";"III";"Bigender";"Single";"Filipino";1;"Bachelor of Arts in Communication Major in Public Relations";2;4;1;"0 International Place";"6439951492";"kmD4Gq0"
202013329;"Cruickshank";"Lehon";"Sula";"IV";"Male";"Single";"Filipino";0;"Bachelor of Science in Business Administration";5;3;1;"99 Mitchell Trail";"2461075872";"nvK6ZIBddkp"
202013330;"Durtnall";"Lisamore";"Vern";"II";"Female";"Single";"Filipino";1;"Bachelor of Science in Business Administration Major in Business Economics";5;4;1;"5 Golf Course Alley";"6251989840";"AMylAT7aOUO"
202013331;"Garretson";"Mendoza";"Sandra";"III";"Genderfluid";"Single";"Filipino";1;"Bachelor of Science in Entrepreneurship";5;1;1;"80 Menomonie Lane";"7899040957";"DedhkGoHPf"
202013332;"Conquer";"Lashmar";"Nolie";"Sr";"Male";"Single";"Filipino";1;"Bachelor of Elementary Education";3;4;1;"3214 Forest Run Alley";"8706029548";"o12NpPm"
202013333;"Izon";"Hutley";"Neala";"Sr";"Genderfluid";"Single";"Filipino";0;"Bachelor of Science in Electrical Engineering";1;3;1;"51 Canary Crossing";"4687400837";"eIjXM9pibv"
202013334;"Gile";"Oty";"Winifred";"III";"Bigender";"Single";"Filipino";1;"Bachelor of Science in Nursing";4;2;1;"0 Summer Ridge Avenue";"6431231847";"LKh0Cf02eWB"
202013335;"Glynn";"Emeny";"Weidar";"Jr";"Male";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;3;1;"2485 Ramsey Hill";"2728288103";"up67W17j"
202013336;"Sertin";"Aubert";"Mill";"III";"Genderfluid";"Single";"Filipino";1;"Bachelor of Science in Information Technology";1;3;1;"5479 Cascade Center";"3488838062";"xdR1o9l2H5"
202013337;"Hubner";"Staddart";"Janeta";"II";"Polygender";"Single";"Filipino";0;"Bachelor of Science in Computer Science";1;3;1;"99512 Westerfield Center";"3228331261";"TsMRxJIC"
202013338;"Orht";"Addekin";"Bartholemy";"III";"Agender";"Single";"Filipino";0;"Bachelor of Secondary Education major in Filipino";3;1;1;"17 Merchant Center";"1294795992";"cPVAygBk"
202013339;"Speller";"Farington";"Dari";"Sr";"Bigender";"Single";"Filipino";0;"Bachelor of Science in Social Work";2;3;1;"469 Kinsman Road";"2687838417";"CjmQNY"
202013340;"Fumagall";"Jillett";"Georgeanna";"Jr";"Non-binary";"Single";"Filipino";1;"Bachelor of Science in Entrepreneurship";5;3;1;"1 Birchwood Circle";"4011569341";"4jI56TC6K"
202013341;"Cornew";"Philip";"Cicely";"Sr";"Bigender";"Single";"Filipino";1;"Bachelor of Secondary Education major in English";3;4;1;"17 Northland Court";"5962198215";"k5uTGqtsQp"
202013342;"Packwood";"Playford";"Marcelo";"IV";"Female";"Single";"Filipino";0;"Bachelor of Secondary Education major in Filipino";3;1;1;"96678 Rutledge Hill";"5082427255";"ONjQyPgp5D"
202013343;"Giffkins";"Arpe";"Aurelie";"II";"Agender";"Single";"Filipino";0;"Bachelor of Science in Information Technology";1;2;1;"72 Lerdahl Circle";"5158082696";"sdPxka"
202013344;"Janusik";"Sears";"Olive";"Jr";"Female";"Single";"Filipino";0;"Bachelor of Science in Information Technology";1;4;1;"0 Everett Parkway";"2803775336";"qmRlT7GD"
202013345;"Witten";"Rubinfeld";"Corrie";"IV";"Non-binary";"Single";"Filipino";1;"Bachelor of Arts in Public Relations";2;3;1;"89069 Clyde Gallagher Street";"3056665067";"2saDPdJv"
202013346;"De la Yglesia";"Chinnock";"Anetta";"III";"Genderfluid";"Single";"Filipino";1;"Bachelor of Science in Nursing";4;4;1;"908 Ryan Plaza";"1059143909";"FGRPht"
202013347;"Turbefield";"Stackbridge";"Hurlee";"IV";"Genderqueer";"Single";"Filipino";0;"Bachelor of Science in Entrepreneurship";5;4;1;"297 Lakewood Way";"8403077922";"JavEkTJj"
202013348;"Calf";"Adamczewski";"Bambie";"II";"Non-binary";"Single";"Filipino";0;"Bachelor of Science in Entrepreneurship";5;1;1;"79 Lien Pass";"9968542145";"ugQVTUB53rz5"
202013349;"Paulino";"Giorgielli";"Zacharie";"III";"Female";"Single";"Filipino";1;"Bachelor of Science in Architecture";6;2;1;"14 Mitchell Trail";"8839637164";"IROUlR0zGsO"
202013350;"Sherrett";"Chimes";"Corabelle";"III";"Polygender";"Single";"Filipino";0;"Bachelor of Science in Social Work";2;4;1;"130 Lawn Junction";"7224736889";"5ztQ3d81KD"
202013351;"Stonhouse";"Matthews";"Marna";"IV";"Genderfluid";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;2;1;"905 Thackeray Avenue";"5174130553";"d6JjNoupF6N"
202013352;"Mechell";"Chartman";"Lyssa";"Jr";"Male";"Single";"Filipino";1;"Bachelor of Science in Nursing";4;2;1;"525 Kingsford Trail";"3358500823";"JMyUuH8"
202013353;"Simonnin";"Thornber";"Shellysheldon";"IV";"Bigender";"Single";"Filipino";1;"Bachelor of Science in Social Work";2;1;1;"78 1st Street";"9234287444";"KcKjo2"
202013354;"McDyer";"Playhill";"Tremain";"III";"Non-binary";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;1;1;"33928 Spenser Alley";"7022682737";"5bvZQAANpAm6"
202013355;"Chad";"Keese";"Lynde";"Jr";"Genderfluid";"Single";"Filipino";1;"Bachelor of Science in Nursing";4;4;2;"56300 Union Pass";"9948033926";"YRdLn6LSzy"
202013356;"Rubenov";"Blacklawe";"Estel";"Jr";"Polygender";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;4;1;"212 Homewood Way";"6035122989";"O8OCAhPcm"
202013357;"Rowbottom";"De Robertis";"Mose";"IV";"Genderfluid";"Single";"Filipino";0;"Bachelor of Science in Tourism Management";5;4;1;"8 Kedzie Lane";"7047247091";"SeVoOMX"
202013358;"Scarlet";"Wandrack";"Gibby";"IV";"Male";"Single";"Filipino";1;"Bachelor of Science in Nursing";4;3;2;"79441 Dahle Center";"3971099911";"7PSX1VQ"
202013359;"Tadlow";"Simmill";"Melba";"II";"Genderfluid";"Single";"Filipino";1;"Bachelor of Science in Architecture";6;1;1;"264 Boyd Drive";"3355662876";"sjFMdz2M"
202013360;"Bowra";"Sargeant";"Natty";"IV";"Agender";"Single";"Filipino";1;"Bachelor of Science in Nursing";4;4;2;"9544 Ludington Terrace";"1883091996";"hvSqj8q9"
202013361;"Harbin";"Smellie";"Erik";"IV";"Polygender";"Single";"Filipino";1;"Bachelor of Arts in Communication";2;1;1;"440 Pleasure Way";"6282433652";"sDRorvcr8"
202013362;"Blade";"Albon";"Lurette";"Sr";"Female";"Single";"Filipino";1;"Bachelor of Science in Tourism Management";5;2;1;"7 Northland Crossing";"7489917115";"nSzliaL3TI"
202013363;"Kimm";"Marioneau";"Leland";"Sr";"Non-binary";"Single";"Filipino";1;"Bachelor of Arts in Communication Major in Public Relations";2;1;1;"455 Linden Avenue";"2938513808";"sp7wIkP"
202013364;"Pawlik";"Stapley";"Arri";"III";"Bigender";"Single";"Filipino";1;"Bachelor of Science in Nursing";4;2;2;"39223 John Wall Road";"5681452340";"t4gSqE"
202013365;"Badger";"Kytter";"Flory";"III";"Bigender";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;4;1;"54 Ridgeview Parkway";"8456623591";"dF9nPNUt"
202013366;"Coughan";"Lomansey";"Janene";"IV";"Genderqueer";"Single";"Filipino";0;"Bachelor of Arts in Public Relations";2;3;1;"9222 Susan Junction";"3233292351";"3G1OUVfG9U"
202013367;"Lelliott";"Fridaye";"Devora";"II";"Polygender";"Single";"Filipino";1;"Bachelor of Arts in Communication Major in Public Relations";2;1;1;"30 Katie Plaza";"4527048776";"tnat8Fj"
202013368;"Klimecki";"Saull";"Mikaela";"II";"Agender";"Single";"Filipino";1;"Bachelor of Science in Nursing";4;3;2;"07802 Thackeray Terrace";"1547518439";"WFmYmy2ayqe"
202013369;"Frankes";"Rocca";"Leigh";"II";"Polygender";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;2;1;"3 Dorton Parkway";"4006621282";"Twi36Fx13Jq"
202013370;"Orme";"Stutard";"Hercule";"Jr";"Genderfluid";"Single";"Filipino";1;"Bachelor of Science in Architecture";6;2;1;"16 Linden Parkway";"1105612766";"3zmbov"
202013371;"Brayn";"Godbehere";"Nichols";"II";"Bigender";"Single";"Filipino";1;"Bachelor of Science in Accountancy";5;4;2;"2 Hagan Avenue";"8131723191";"NFvmuymw"
202013372;"Cayette";"Leverette";"Roselle";"Sr";"Male";"Single";"Filipino";1;"Bachelor of Arts in Communication";2;4;1;"71 Morning Pass";"4139660546";"aRuDbD6eWa"
202013373;"Blakeley";"Arber";"Hugo";"Jr";"Agender";"Single";"Filipino";0;"Bachelor of Science in Nursing";4;1;2;"62625 Stuart Street";"6827793777";"xArG5SFWsJzQ"
202013374;"Sibray";"Camplin";"Yard";"IV";"Genderfluid";"Single";"Filipino";0;"Bachelor of Science in Mechanical Engineering";1;2;1;"1 Iowa Drive";"3976076232";"6ixNGtn4jvfm"
202013375;"Sinfield";"Kleinmann";"Nowell";"Sr";"Agender";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;2;1;"4 Springs Crossing";"2202640215";"SpdGwfE4XOq"
202013376;"Cannings";"Cayford";"Fawn";"Jr";"Agender";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;2;1;"8616 Susan Way";"7119706805";"jrJG40sR9f"
202013377;"Pennells";"Vannoort";"Elliot";"Sr";"Agender";"Single";"Filipino";1;"Bachelor of Science in Nursing";4;1;2;"01 Montana Court";"9895866844";"X9Eh9k1"
202013378;"Tyson";"Autrie";"Archer";"Jr";"Bigender";"Single";"Filipino";0;"Bachelor of Arts in Communication";2;3;1;"66605 Green Center";"5942620591";"Zcrr67G"
202013379;"Bertolin";"Vasyukhnov";"Dayna";"Sr";"Agender";"Single";"Filipino";1;"Bachelor of Science in Tourism Management";5;4;1;"21908 Hazelcrest Way";"8517688462";"8N365mOcqK9i"
202013380;"Hook";"Luby";"Alfy";"IV";"Genderqueer";"Single";"Filipino";0;"Bachelor of Science in Tourism Management";5;2;1;"606 Rusk Avenue";"2504368357";"Yo4uYZML"
202014310;"Youson";"Easun";"Norby";"III";"Polygender";"Single";"Filipino";0;"Bachelor of Science in Business Administration";5;3;1;"4 Washington Place";"3731970864";"LUZJP3K"
202014320;"Packer";"Imesen";"Tessa";"IV";"Female";"Single";"Filipino";0;"Bachelor of Science in Architecture";6;4;1;"86999 American Plaza";"2345895305";"51KFon006"
